benchmark,run,result
pi,baseline,5929426
pi,tdce,5929426
pi,lvn,5929426
pi,combined,5929426
quadratic,baseline,missing
quadratic,tdce,missing
quadratic,lvn,missing
quadratic,combined,missing
montgomery,baseline,missing
montgomery,tdce,missing
montgomery,lvn,missing
montgomery,combined,missing
primes-between,baseline,missing
primes-between,tdce,missing
primes-between,lvn,missing
primes-between,combined,missing
mod_pow,baseline,missing
mod_pow,tdce,missing
mod_pow,lvn,missing
mod_pow,combined,missing
orders,baseline,missing
orders,tdce,missing
orders,lvn,missing
orders,combined,missing
sum-check,baseline,missing
sum-check,tdce,missing
sum-check,lvn,missing
sum-check,combined,missing
palindrome,baseline,missing
palindrome,tdce,missing
palindrome,lvn,missing
palindrome,combined,missing
rot13,baseline,missing
rot13,tdce,missing
rot13,lvn,missing
rot13,combined,missing
totient,baseline,missing
totient,tdce,missing
totient,lvn,missing
totient,combined,missing
fib_recursive,baseline,missing
fib_recursive,tdce,missing
fib_recursive,lvn,missing
fib_recursive,combined,missing
relative-primes,baseline,1923
relative-primes,tdce,1914
relative-primes,lvn,1923
relative-primes,combined,1207
hanoi,baseline,missing
hanoi,tdce,missing
hanoi,lvn,missing
hanoi,combined,missing
is-decreasing,baseline,missing
is-decreasing,tdce,missing
is-decreasing,lvn,missing
is-decreasing,combined,missing
grad_desc,baseline,missing
grad_desc,tdce,missing
grad_desc,lvn,missing
grad_desc,combined,missing
check-primes,baseline,missing
check-primes,tdce,missing
check-primes,lvn,missing
check-primes,combined,missing
sum-sq-diff,baseline,missing
sum-sq-diff,tdce,missing
sum-sq-diff,lvn,missing
sum-sq-diff,combined,missing
fitsinside,baseline,missing
fitsinside,tdce,missing
fitsinside,lvn,missing
fitsinside,combined,missing
hamming,baseline,missing
hamming,tdce,missing
hamming,lvn,missing
hamming,combined,missing
fact,baseline,missing
fact,tdce,missing
fact,lvn,missing
fact,combined,missing
loopfact,baseline,missing
loopfact,tdce,missing
loopfact,lvn,missing
loopfact,combined,missing
recfact,baseline,missing
recfact,tdce,missing
recfact,lvn,missing
recfact,combined,missing
geometric-sum,baseline,missing
geometric-sum,tdce,missing
geometric-sum,lvn,missing
geometric-sum,combined,missing
sum-to-ten,baseline,143
sum-to-ten,tdce,142
sum-to-ten,lvn,143
sum-to-ten,combined,89
legendre,baseline,missing
legendre,tdce,missing
legendre,lvn,missing
legendre,combined,missing
factors,baseline,missing
factors,tdce,missing
factors,lvn,missing
factors,combined,missing
perfect,baseline,missing
perfect,tdce,missing
perfect,lvn,missing
perfect,combined,missing
binpow,baseline,missing
