benchmark,implementation,serial_time,parallel_2t,speedup_2t,parallel_4t,speedup_4t,parallel_8t,speedup_8t,fusion_applied,fusion_candidates,fusion_attempts,fusion_succeeded,parallelizable_loops,parallelized_ok,has_omp_fork
fuse_should_fuse,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse_should_fuse,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse_should_fuse,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse_should_fuse,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse01_independent_constN,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse01_independent_constN,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse01_independent_constN,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse01_independent_constN,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse04_struct_fields,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse04_struct_fields,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse04_struct_fields,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse04_struct_fields,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse06_stride2,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse06_stride2,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse06_stride2,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse06_stride2,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse07_two_outputs,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse07_two_outputs,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse07_two_outputs,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse07_two_outputs,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse08_int_arrays,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse08_int_arrays,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse08_int_arrays,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse08_int_arrays,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse09_2d_rows,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse09_2d_rows,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse09_2d_rows,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse09_2d_rows,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse11_affine_float,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse11_affine_float,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse11_affine_float,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse11_affine_float,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse12_affine_double,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse12_affine_double,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse12_affine_double,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse12_affine_double,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse13_two_out_one_in,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse13_two_out_one_in,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse13_two_out_one_in,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse13_two_out_one_in,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse14_int32_affine,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse14_int32_affine,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse14_int32_affine,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse14_int32_affine,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse15_uint16_mix,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse15_uint16_mix,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse15_uint16_mix,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse15_uint16_mix,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse16_struct_store,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse16_struct_store,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse16_struct_store,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse16_struct_store,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse17_flat_2d,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse17_flat_2d,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse17_flat_2d,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse17_flat_2d,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse18_uint32_bitops,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse18_uint32_bitops,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse18_uint32_bitops,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse18_uint32_bitops,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse19_stride3,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse19_stride3,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse19_stride3,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse19_stride3,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse20_two_out_two_in,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse20_two_out_two_in,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse20_two_out_two_in,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse20_two_out_two_in,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse21_int_math_float_out,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse21_int_math_float_out,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse21_int_math_float_out,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse21_int_math_float_out,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse22_small_values,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse22_small_values,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse22_small_values,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse22_small_values,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse23_mixed_outputs,NoPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse23_mixed_outputs,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse23_mixed_outputs,Fusion+Shared,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
fuse23_mixed_outputs,OriginalPass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
