benchmark,implementation,threads,time,parallelizable_loops,parallelized_loops,fusion_applied_pairs,fusion_candidates,fusion_attempts,fusion_succeeded
fuse_should_fuse,NoPass,1,.000987,0,0,0,0,0,0
fuse_should_fuse,NoPass,2,.000798,0,0,0,0,0,0
fuse_should_fuse,NoPass,4,.000680,0,0,0,0,0,0
fuse_should_fuse,NoPass,8,.000661,0,0,0,0,0,0
fuse_should_fuse,OriginalPass,1,0,2,0,,,,
fuse_should_fuse,OriginalPass,2,0,2,0,,,,
fuse_should_fuse,OriginalPass,4,0,2,0,,,,
fuse_should_fuse,OriginalPass,8,0,2,0,,,,
fuse_should_fuse,Fusion,1,0,1,0,,,,
fuse_should_fuse,Fusion,2,0,1,0,,,,
fuse_should_fuse,Fusion,4,0,1,0,,,,
fuse_should_fuse,Fusion,8,0,1,0,,,,
fuse_should_fuse,Fusion+Shared,1,0,1,0,,,,
fuse_should_fuse,Fusion+Shared,2,0,1,0,,,,
fuse_should_fuse,Fusion+Shared,4,0,1,0,,,,
fuse_should_fuse,Fusion+Shared,8,0,1,0,,,,
fuse01_independent_constN,NoPass,1,.000977,0,0,0,0,0,0
fuse01_independent_constN,NoPass,2,.000787,0,0,0,0,0,0
fuse01_independent_constN,NoPass,4,.000668,0,0,0,0,0,0
fuse01_independent_constN,NoPass,8,.000651,0,0,0,0,0,0
fuse01_independent_constN,OriginalPass,1,0,2,0,,,,
fuse01_independent_constN,OriginalPass,2,0,2,0,,,,
fuse01_independent_constN,OriginalPass,4,0,2,0,,,,
fuse01_independent_constN,OriginalPass,8,0,2,0,,,,
fuse01_independent_constN,Fusion,1,0,1,0,,,,
fuse01_independent_constN,Fusion,2,0,1,0,,,,
fuse01_independent_constN,Fusion,4,0,1,0,,,,
fuse01_independent_constN,Fusion,8,0,1,0,,,,
fuse01_independent_constN,Fusion+Shared,1,0,1,0,,,,
fuse01_independent_constN,Fusion+Shared,2,0,1,0,,,,
fuse01_independent_constN,Fusion+Shared,4,0,1,0,,,,
fuse01_independent_constN,Fusion+Shared,8,0,1,0,,,,
fuse06_stride2,NoPass,1,N/A,0,0,0,0,0,0
fuse06_stride2,NoPass,2,N/A,0,0,0,0,0,0
fuse06_stride2,NoPass,4,N/A,0,0,0,0,0,0
fuse06_stride2,NoPass,8,N/A,0,0,0,0,0,0
fuse06_stride2,OriginalPass,1,N/A,2,0,,,,
fuse06_stride2,OriginalPass,2,N/A,2,0,,,,
fuse06_stride2,OriginalPass,4,N/A,2,0,,,,
fuse06_stride2,OriginalPass,8,N/A,2,0,,,,
fuse06_stride2,Fusion,1,N/A,1,0,,,,
fuse06_stride2,Fusion,2,N/A,1,0,,,,
fuse06_stride2,Fusion,4,N/A,1,0,,,,
fuse06_stride2,Fusion,8,N/A,1,0,,,,
fuse06_stride2,Fusion+Shared,1,N/A,1,0,,,,
fuse06_stride2,Fusion+Shared,2,N/A,1,0,,,,
fuse06_stride2,Fusion+Shared,4,N/A,1,0,,,,
fuse06_stride2,Fusion+Shared,8,N/A,1,0,,,,
fuse08_int_arrays,NoPass,1,.001024,0,0,0,0,0,0
fuse08_int_arrays,NoPass,2,.000795,0,0,0,0,0,0
fuse08_int_arrays,NoPass,4,.000671,0,0,0,0,0,0
fuse08_int_arrays,NoPass,8,.000653,0,0,0,0,0,0
fuse08_int_arrays,OriginalPass,1,0,2,0,,,,
fuse08_int_arrays,OriginalPass,2,0,2,0,,,,
fuse08_int_arrays,OriginalPass,4,0,2,0,,,,
fuse08_int_arrays,OriginalPass,8,0,2,0,,,,
fuse08_int_arrays,Fusion,1,0,1,0,,,,
fuse08_int_arrays,Fusion,2,0,1,0,,,,
fuse08_int_arrays,Fusion,4,0,1,0,,,,
fuse08_int_arrays,Fusion,8,0,1,0,,,,
fuse08_int_arrays,Fusion+Shared,1,0,1,0,,,,
fuse08_int_arrays,Fusion+Shared,2,0,1,0,,,,
fuse08_int_arrays,Fusion+Shared,4,0,1,0,,,,
fuse08_int_arrays,Fusion+Shared,8,.000001,1,0,,,,
fuse09_2d_rows,NoPass,1,.000978,0,0,0,0,0,0
fuse09_2d_rows,NoPass,2,.000789,0,0,0,0,0,0
fuse09_2d_rows,NoPass,4,.000660,0,0,0,0,0,0
fuse09_2d_rows,NoPass,8,.000689,0,0,0,0,0,0
fuse09_2d_rows,OriginalPass,1,0,2,0,,,,
fuse09_2d_rows,OriginalPass,2,0,2,0,,,,
fuse09_2d_rows,OriginalPass,4,0,2,0,,,,
fuse09_2d_rows,OriginalPass,8,0,2,0,,,,
fuse09_2d_rows,Fusion,1,0,1,0,,,,
fuse09_2d_rows,Fusion,2,0,1,0,,,,
fuse09_2d_rows,Fusion,4,0,1,0,,,,
fuse09_2d_rows,Fusion,8,.000001,1,0,,,,
fuse09_2d_rows,Fusion+Shared,1,0,1,0,,,,
fuse09_2d_rows,Fusion+Shared,2,0,1,0,,,,
fuse09_2d_rows,Fusion+Shared,4,0,1,0,,,,
fuse09_2d_rows,Fusion+Shared,8,0,1,0,,,,
fuse11_affine_float,NoPass,1,.001151,0,0,0,0,0,0
fuse11_affine_float,NoPass,2,.000789,0,0,0,0,0,0
fuse11_affine_float,NoPass,4,.000663,0,0,0,0,0,0
fuse11_affine_float,NoPass,8,.000652,0,0,0,0,0,0
fuse11_affine_float,OriginalPass,1,0,2,0,,,,
fuse11_affine_float,OriginalPass,2,0,2,0,,,,
fuse11_affine_float,OriginalPass,4,0,2,0,,,,
fuse11_affine_float,OriginalPass,8,0,2,0,,,,
fuse11_affine_float,Fusion,1,0,1,0,,,,
fuse11_affine_float,Fusion,2,0,1,0,,,,
fuse11_affine_float,Fusion,4,0,1,0,,,,
fuse11_affine_float,Fusion,8,0,1,0,,,,
fuse11_affine_float,Fusion+Shared,1,0,1,0,,,,
fuse11_affine_float,Fusion+Shared,2,.000001,1,0,,,,
fuse11_affine_float,Fusion+Shared,4,0,1,0,,,,
fuse11_affine_float,Fusion+Shared,8,0,1,0,,,,
fuse12_affine_double,NoPass,1,N/A,0,0,0,0,0,0
fuse12_affine_double,NoPass,2,N/A,0,0,0,0,0,0
fuse12_affine_double,NoPass,4,N/A,0,0,0,0,0,0
fuse12_affine_double,NoPass,8,N/A,0,0,0,0,0,0
fuse12_affine_double,OriginalPass,1,N/A,2,0,,,,
fuse12_affine_double,OriginalPass,2,N/A,2,0,,,,
fuse12_affine_double,OriginalPass,4,N/A,2,0,,,,
fuse12_affine_double,OriginalPass,8,N/A,2,0,,,,
fuse12_affine_double,Fusion,1,N/A,1,0,,,,
fuse12_affine_double,Fusion,2,N/A,1,0,,,,
fuse12_affine_double,Fusion,4,N/A,1,0,,,,
fuse12_affine_double,Fusion,8,N/A,1,0,,,,
fuse12_affine_double,Fusion+Shared,1,N/A,1,0,,,,
fuse12_affine_double,Fusion+Shared,2,N/A,1,0,,,,
fuse12_affine_double,Fusion+Shared,4,N/A,1,0,,,,
fuse12_affine_double,Fusion+Shared,8,N/A,1,0,,,,
fuse14_int32_affine,NoPass,1,.001029,0,0,0,0,0,0
fuse14_int32_affine,NoPass,2,.000795,0,0,0,0,0,0
fuse14_int32_affine,NoPass,4,.000670,0,0,0,0,0,0
fuse14_int32_affine,NoPass,8,.000654,0,0,0,0,0,0
fuse14_int32_affine,OriginalPass,1,0,2,0,,,,
fuse14_int32_affine,OriginalPass,2,0,2,0,,,,
fuse14_int32_affine,OriginalPass,4,0,2,0,,,,
fuse14_int32_affine,OriginalPass,8,0,2,0,,,,
fuse14_int32_affine,Fusion,1,0,1,0,,,,
fuse14_int32_affine,Fusion,2,0,1,0,,,,
fuse14_int32_affine,Fusion,4,0,1,0,,,,
fuse14_int32_affine,Fusion,8,0,1,0,,,,
fuse14_int32_affine,Fusion+Shared,1,0,1,0,,,,
fuse14_int32_affine,Fusion+Shared,2,0,1,0,,,,
fuse14_int32_affine,Fusion+Shared,4,0,1,0,,,,
fuse14_int32_affine,Fusion+Shared,8,0,1,0,,,,
fuse15_uint16_mix,NoPass,1,.002524,0,0,0,0,0,0
fuse15_uint16_mix,NoPass,2,.001451,0,0,0,0,0,0
fuse15_uint16_mix,NoPass,4,.001322,0,0,0,0,0,0
fuse15_uint16_mix,NoPass,8,.001310,0,0,0,0,0,0
fuse15_uint16_mix,OriginalPass,1,0,2,0,,,,
fuse15_uint16_mix,OriginalPass,2,0,2,0,,,,
fuse15_uint16_mix,OriginalPass,4,0,2,0,,,,
fuse15_uint16_mix,OriginalPass,8,0,2,0,,,,
fuse15_uint16_mix,Fusion,1,0,1,0,,,,
fuse15_uint16_mix,Fusion,2,0,1,0,,,,
fuse15_uint16_mix,Fusion,4,0,1,0,,,,
fuse15_uint16_mix,Fusion,8,.000001,1,0,,,,
fuse15_uint16_mix,Fusion+Shared,1,0,1,0,,,,
fuse15_uint16_mix,Fusion+Shared,2,0,1,0,,,,
fuse15_uint16_mix,Fusion+Shared,4,0,1,0,,,,
fuse15_uint16_mix,Fusion+Shared,8,0,1,0,,,,
fuse16_struct_store,NoPass,1,N/A,0,0,0,0,0,0
fuse16_struct_store,NoPass,2,N/A,0,0,0,0,0,0
fuse16_struct_store,NoPass,4,N/A,0,0,0,0,0,0
fuse16_struct_store,NoPass,8,N/A,0,0,0,0,0,0
fuse16_struct_store,OriginalPass,1,N/A,2,0,,,,
fuse16_struct_store,OriginalPass,2,N/A,2,0,,,,
fuse16_struct_store,OriginalPass,4,N/A,2,0,,,,
fuse16_struct_store,OriginalPass,8,N/A,2,0,,,,
fuse16_struct_store,Fusion,1,N/A,1,0,,,,
fuse16_struct_store,Fusion,2,N/A,1,0,,,,
fuse16_struct_store,Fusion,4,N/A,1,0,,,,
fuse16_struct_store,Fusion,8,N/A,1,0,,,,
fuse16_struct_store,Fusion+Shared,1,N/A,1,0,,,,
fuse16_struct_store,Fusion+Shared,2,N/A,1,0,,,,
fuse16_struct_store,Fusion+Shared,4,N/A,1,0,,,,
fuse16_struct_store,Fusion+Shared,8,N/A,1,0,,,,
fuse17_flat_2d,NoPass,1,.000019,0,0,0,0,0,0
fuse17_flat_2d,NoPass,2,.000017,0,0,0,0,0,0
fuse17_flat_2d,NoPass,4,.000016,0,0,0,0,0,0
fuse17_flat_2d,NoPass,8,.000016,0,0,0,0,0,0
fuse17_flat_2d,OriginalPass,1,0,2,0,,,,
fuse17_flat_2d,OriginalPass,2,0,2,0,,,,
fuse17_flat_2d,OriginalPass,4,0,2,0,,,,
fuse17_flat_2d,OriginalPass,8,0,2,0,,,,
fuse17_flat_2d,Fusion,1,0,1,0,,,,
fuse17_flat_2d,Fusion,2,0,1,0,,,,
fuse17_flat_2d,Fusion,4,0,1,0,,,,
fuse17_flat_2d,Fusion,8,0,1,0,,,,
fuse17_flat_2d,Fusion+Shared,1,0,1,0,,,,
fuse17_flat_2d,Fusion+Shared,2,0,1,0,,,,
fuse17_flat_2d,Fusion+Shared,4,0,1,0,,,,
fuse17_flat_2d,Fusion+Shared,8,0,1,0,,,,
fuse18_uint32_bitops,NoPass,1,.001860,0,0,0,0,0,0
fuse18_uint32_bitops,NoPass,2,.001126,0,0,0,0,0,0
fuse18_uint32_bitops,NoPass,4,.001015,0,0,0,0,0,0
fuse18_uint32_bitops,NoPass,8,.000906,0,0,0,0,0,0
fuse18_uint32_bitops,OriginalPass,1,0,2,0,,,,
fuse18_uint32_bitops,OriginalPass,2,0,2,0,,,,
fuse18_uint32_bitops,OriginalPass,4,0,2,0,,,,
fuse18_uint32_bitops,OriginalPass,8,0,2,0,,,,
fuse18_uint32_bitops,Fusion,1,0,1,0,,,,
fuse18_uint32_bitops,Fusion,2,.000001,1,0,,,,
fuse18_uint32_bitops,Fusion,4,0,1,0,,,,
fuse18_uint32_bitops,Fusion,8,0,1,0,,,,
fuse18_uint32_bitops,Fusion+Shared,1,0,1,0,,,,
fuse18_uint32_bitops,Fusion+Shared,2,0,1,0,,,,
fuse18_uint32_bitops,Fusion+Shared,4,0,1,0,,,,
fuse18_uint32_bitops,Fusion+Shared,8,0,1,0,,,,
fuse19_stride3,NoPass,1,N/A,0,0,0,0,0,0
fuse19_stride3,NoPass,2,N/A,0,0,0,0,0,0
fuse19_stride3,NoPass,4,N/A,0,0,0,0,0,0
fuse19_stride3,NoPass,8,N/A,0,0,0,0,0,0
fuse19_stride3,OriginalPass,1,N/A,2,0,,,,
fuse19_stride3,OriginalPass,2,N/A,2,0,,,,
fuse19_stride3,OriginalPass,4,N/A,2,0,,,,
fuse19_stride3,OriginalPass,8,N/A,2,0,,,,
fuse19_stride3,Fusion,1,N/A,1,0,,,,
fuse19_stride3,Fusion,2,N/A,1,0,,,,
fuse19_stride3,Fusion,4,N/A,1,0,,,,
fuse19_stride3,Fusion,8,N/A,1,0,,,,
fuse19_stride3,Fusion+Shared,1,N/A,1,0,,,,
fuse19_stride3,Fusion+Shared,2,N/A,1,0,,,,
fuse19_stride3,Fusion+Shared,4,N/A,1,0,,,,
fuse19_stride3,Fusion+Shared,8,N/A,1,0,,,,
fuse21_int_math_float_out,NoPass,1,.001427,0,0,0,0,0,0
fuse21_int_math_float_out,NoPass,2,.000795,0,0,0,0,0,0
fuse21_int_math_float_out,NoPass,4,.000682,0,0,0,0,0,0
fuse21_int_math_float_out,NoPass,8,.000654,0,0,0,0,0,0
fuse21_int_math_float_out,OriginalPass,1,0,2,0,,,,
fuse21_int_math_float_out,OriginalPass,2,0,2,0,,,,
fuse21_int_math_float_out,OriginalPass,4,0,2,0,,,,
fuse21_int_math_float_out,OriginalPass,8,0,2,0,,,,
fuse21_int_math_float_out,Fusion,1,0,1,0,,,,
fuse21_int_math_float_out,Fusion,2,0,1,0,,,,
fuse21_int_math_float_out,Fusion,4,0,1,0,,,,
fuse21_int_math_float_out,Fusion,8,0,1,0,,,,
fuse21_int_math_float_out,Fusion+Shared,1,0,1,0,,,,
fuse21_int_math_float_out,Fusion+Shared,2,0,1,0,,,,
fuse21_int_math_float_out,Fusion+Shared,4,0,1,0,,,,
fuse21_int_math_float_out,Fusion+Shared,8,.000001,1,0,,,,
fuse22_small_values,NoPass,1,.001936,0,0,0,0,0,0
fuse22_small_values,NoPass,2,.001209,0,0,0,0,0,0
fuse22_small_values,NoPass,4,.001090,0,0,0,0,0,0
fuse22_small_values,NoPass,8,.001079,0,0,0,0,0,0
fuse22_small_values,OriginalPass,1,0,2,0,,,,
fuse22_small_values,OriginalPass,2,0,2,0,,,,
fuse22_small_values,OriginalPass,4,0,2,0,,,,
fuse22_small_values,OriginalPass,8,0,2,0,,,,
fuse22_small_values,Fusion,1,0,1,0,,,,
fuse22_small_values,Fusion,2,0,1,0,,,,
fuse22_small_values,Fusion,4,0,1,0,,,,
fuse22_small_values,Fusion,8,0,1,0,,,,
fuse22_small_values,Fusion+Shared,1,0,1,0,,,,
fuse22_small_values,Fusion+Shared,2,0,1,0,,,,
fuse22_small_values,Fusion+Shared,4,0,1,0,,,,
fuse22_small_values,Fusion+Shared,8,0,1,0,,,,
fuse23_mixed_outputs,NoPass,1,.001417,0,0,0,0,0,0
fuse23_mixed_outputs,NoPass,2,.000789,0,0,0,0,0,0
fuse23_mixed_outputs,NoPass,4,.000659,0,0,0,0,0,0
fuse23_mixed_outputs,NoPass,8,.000656,0,0,0,0,0,0
fuse23_mixed_outputs,OriginalPass,1,0,2,0,,,,
fuse23_mixed_outputs,OriginalPass,2,0,2,0,,,,
fuse23_mixed_outputs,OriginalPass,4,0,2,0,,,,
fuse23_mixed_outputs,OriginalPass,8,0,2,0,,,,
fuse23_mixed_outputs,Fusion,1,0,1,0,,,,
fuse23_mixed_outputs,Fusion,2,0,1,0,,,,
fuse23_mixed_outputs,Fusion,4,0,1,0,,,,
fuse23_mixed_outputs,Fusion,8,0,1,0,,,,
fuse23_mixed_outputs,Fusion+Shared,1,0,1,0,,,,
fuse23_mixed_outputs,Fusion+Shared,2,0,1,0,,,,
fuse23_mixed_outputs,Fusion+Shared,4,0,1,0,,,,
fuse23_mixed_outputs,Fusion+Shared,8,0,1,0,,,,
