benchmark,implementation,threads,time,parallelizable_loops,parallelized_loops,parallel_ir,omp_calls_out,fusion_applied_pairs,fusion_candidates,fusion_attempts,fusion_succeeded,fused_ir,br_i1_in,br_i1_out
fuse_should_fuse,NoPass,1,0.006739,0,0,0,0,0,0,0,0,0,0,0
fuse_should_fuse,OriginalPass,2,0.006738,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,OriginalPass,4,0.006755,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,OriginalPass,8,0.006785,2,0,0,0,0,0,0,0,0,2,2
fuse_should_fuse,Fusion,2,0.003898,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion,4,0.003902,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion,8,0.003934,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,2,0.006086,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,4,0.003839,1,0,0,0,1,1,1,1,1,2,1
fuse_should_fuse,Fusion+Shared,8,0.003805,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,NoPass,1,0.009523,0,0,0,0,0,0,0,0,0,0,0
fuse01_independent_constN,OriginalPass,2,0.009507,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,OriginalPass,4,0.006585,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,OriginalPass,8,0.006526,2,0,0,0,0,0,0,0,0,2,2
fuse01_independent_constN,Fusion,2,0.006284,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion,4,0.004066,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion,8,0.004016,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,2,0.006311,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,4,0.004027,1,0,0,0,1,1,1,1,1,2,1
fuse01_independent_constN,Fusion+Shared,8,0.004016,1,0,0,0,1,1,1,1,1,2,1
fuse06_stride2,NoPass,1,0.009719,0,0,0,0,0,0,0,0,0,0,0
fuse06_stride2,OriginalPass,2,0.009532,2,0,0,0,0,0,0,0,0,2,2
fuse06_stride2,OriginalPass,4,0.006629,2,0,0,0,0,0,0,0,0,2,2
