benchmark,NoPass,OriginalPass,Fusion,Fusion+Shared
fuse01_independent_constN,0.009523,0.006526,0.004016,0.004016
fuse06_stride2,0.009719,0.006618,0.004516,0.004528
fuse08_int_arrays,0.009577,0.006548,0.00369,0.003694
fuse09_2d_rows,0.009667,0.006747,0.003949,0.003941
fuse11_affine_float,0.006806,0.006811,0.004186,0.004182
fuse12_affine_double,0.006807,0.006828,0.010182,0.009968
fuse14_int32_affine,0.009518,0.006535,0.005039,0.005046
fuse15_uint16_mix,0.016597,0.012897,0.00865,0.008683
fuse16_struct_store,0.012201,0.008185,0.007748,0.007766
fuse17_flat_2d,0.0003,0.000161,8.3e-05,8.4e-05
fuse18_uint32_bitops,0.013632,0.010187,0.006613,0.00662
fuse19_stride3,0.009639,0.006605,0.005181,0.005155
fuse21_int_math_float_out,0.009529,0.006546,0.005469,0.005458
fuse22_small_values,0.01466,0.010814,0.007096,0.007127
fuse23_mixed_outputs,0.009595,0.006551,0.003792,0.003816
fuse_should_fuse,0.006739,0.006738,0.003898,0.003805
