benchmark,implementation,serial_time,parallel_2t,speedup_2t,parallel_4t,speedup_4t,parallel_8t,speedup_8t,parallelizable_loops,fusion_succeeded_pairs,fusion_candidates,fusion_attempts
fuse_should_fuse,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse_should_fuse,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse01_independent_constN,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse01_independent_constN,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse04_struct_fields,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse04_struct_fields,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse06_stride2,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse06_stride2,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse07_two_outputs,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse07_two_outputs,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse08_int_arrays,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse08_int_arrays,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse09_2d_rows,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse09_2d_rows,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse11_affine_float,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse11_affine_float,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse12_affine_double,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse12_affine_double,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse13_two_out_one_in,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse13_two_out_one_in,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse14_int32_affine,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse14_int32_affine,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse15_uint16_mix,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse15_uint16_mix,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse16_struct_store,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse16_struct_store,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse17_flat_2d,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse17_flat_2d,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse18_uint32_bitops,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse18_uint32_bitops,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse19_stride3,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse19_stride3,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse20_two_out_two_in,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse20_two_out_two_in,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse21_int_math_float_out,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse21_int_math_float_out,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse22_small_values,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse22_small_values,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse23_mixed_outputs,Original,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
fuse23_mixed_outputs,Fusion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0
