benchmark,baseline,candidate,fusion_applied_pairs,fusion_applied,delta_speedup_2t,time_ratio_2t,fusion_helps_2t,delta_speedup_4t,time_ratio_4t,fusion_helps_4t,delta_speedup_8t,time_ratio_8t,fusion_helps_8t,fusion_helps_any
2mm,Original,Fusion,0.0,0,0.10999999999999999,1.0398009950248757,0,0.06000000000000005,0.9852941176470589,0,0.06000000000000005,1.0,0,0
2mm,Original,Fusion+Shared,0.0,0,0.039999999999999925,1.0195121951219512,0,-0.009999999999999898,0.9710144927536233,0,0.020000000000000018,1.015075376884422,0,0
2mm,Fusion,Fusion+Shared,0.0,0,-0.07000000000000006,0.9804878048780489,0,-0.06999999999999995,0.9855072463768116,0,-0.040000000000000036,1.015075376884422,0,0
3mm,Original,Fusion,0.0,0,0.09999999999999998,1.1173333333333333,0,0.040000000000000036,1.0469973890339426,0,0.06999999999999995,1.0826666666666667,0,0
3mm,Original,Fusion+Shared,0.0,0,0.14,1.1173333333333333,0,0.09999999999999998,1.0664893617021276,0,0.12,1.0913978494623657,0,0
3mm,Fusion,Fusion+Shared,0.0,0,0.040000000000000036,1.0,0,0.05999999999999994,1.0186170212765957,0,0.050000000000000044,1.0080645161290323,0,0
adi,Original,Fusion,0.0,0,-0.35,1.0685142417244033,0,-0.6799999999999999,1.0024360535931789,0,-0.72,0.9968334388853705,0,0
adi,Original,Fusion+Shared,0.0,0,-0.35,1.0738878143133461,0,-0.6799999999999999,1.0042708968883465,0,-0.73,0.9880728185812933,0,0
adi,Fusion,Fusion+Shared,0.0,0,0.0,1.0050290135396518,0,0.0,1.00183038438072,0,-0.010000000000000009,0.9912115505335845,0,0
atax,Original,Fusion,0.0,0,-0.020000000000000018,1.1071428571428572,0,-0.020000000000000018,1.1052631578947367,0,-0.24,0.9130434782608695,0,0
atax,Original,Fusion+Shared,0.0,0,-0.040000000000000036,1.0,0,0.15999999999999992,1.1666666666666665,0,-0.10000000000000009,0.9545454545454545,0,0
